Player,ID,Position,Handedness,Height (in),Weight (lbs),Birthday,Nationality
SERGEI BRYLIN,8458978.0,C,L,70.0,190.0,1974-01-13,RUS
NOAH CLARKE,8468123.0,L,L,69.0,190.0,1979-06-11,USA
OLLI MALMIVAARA,8468597.0,D,L,79.0,230.0,1982-03-13,FIN
KAREL RACHUNEK,8466353.0,D,R,74.0,220.0,1979-08-27,CZE
VITALY VISHNEVSKI,8467352.0,D,L,74.0,215.0,1980-03-18,UKR
MICHAEL FUNK,8471256.0,D,L,76.0,199.0,1986-08-15,CAN
NOLAN PRATT,8459538.0,D,L,75.0,207.0,1975-08-14,CAN
JOCELYN THIBAULT,8459432.0,G,L,71.0,169.0,1975-01-12,CAN
MIKE GLUMAC,8470330.0,C,R,74.0,209.0,1980-04-05,CAN
MIKE JOHNSON,8466109.0,R,R,74.0,202.0,1974-10-03,CAN
MARTIN RUCINSKY,8458534.0,L,L,73.0,205.0,1971-03-11,CZE
MICKI DUPONT,8468750.0,D,R,70.0,186.0,1980-04-15,CAN
CHRIS BECKFORD-TSEU,8470751.0,G,L,75.0,201.0,1984-06-22,CAN
HANNU TOIVONEN,8470084.0,G,L,74.0,200.0,1984-05-18,FIN
DAVID BRINE,8471906.0,C,L,73.0,201.0,1985-01-06,CAN
ROB GLOBKE,8470305.0,C,R,74.0,208.0,1982-10-24,USA
JOZEF STUMPEL,8458554.0,C,R,75.0,222.0,1972-07-20,SVK
MARTIN LOJEK,8470698.0,D,R,76.0,220.0,1985-08-19,CZE
BRANISLAV MEZEI,8467883.0,D,L,76.0,235.0,1980-10-08,SVK
JEFF HOGGAN,8470004.0,R,L,73.0,193.0,1978-02-01,CAN
GLEN MURRAY,8458532.0,R,R,75.0,218.0,1972-11-01,CAN
JEREMY REICH,8466174.0,C,L,73.0,203.0,1979-02-11,CAN
BOBBY ALLEN,8467378.0,D,L,72.0,201.0,1978-11-14,USA
KEVYN ADAMS,8459446.0,C,R,73.0,200.0,1974-10-08,USA
ADAM BERTI,8471281.0,L,L,75.0,205.0,1986-07-01,CAN
PETRI KONTIOLA,8471408.0,C,R,72.0,204.0,1984-10-04,FIN
YANIC PERREAULT,8458561.0,C,L,71.0,185.0,1971-04-04,CAN
MAGNUS JOHANSSON,8473981.0,D,R,71.0,180.0,1973-09-04,SWE
DANNY RICHMOND,8470624.0,D,L,73.0,190.0,1984-08-01,USA
ANDREI ZYUZIN,8465250.0,D,L,73.0,208.0,1978-01-21,RUS
BATES BATTAGLIA,8460620.0,L,L,74.0,205.0,1975-12-13,USA
ALEX FOSTER,8472334.0,C,L,72.0,200.0,1984-08-26,USA
SIMON GAMACHE,8468770.0,L,L,70.0,186.0,1981-01-03,CAN
CHAD KILGER,8462035.0,L,L,76.0,224.0,1976-11-27,CAN
JOHN POHL,8467565.0,C,R,73.0,196.0,1979-06-29,USA
GARTH MURRAY,8469528.0,C,L,74.0,210.0,1982-09-17,CAN
BRYAN SMOLINSKI,8458069.0,C,R,73.0,203.0,1971-12-27,USA
JONATHAN FILEWICH,8470663.0,R,R,74.0,208.0,1984-10-02,CAN
ALAIN NASREDDINE,8459558.0,D,L,73.0,204.0,1975-07-10,CAN
MARCEL HOSSA,8468496.0,L,L,75.0,220.0,1981-10-12,SVK
MARTIN STRAKA,8458955.0,L,L,69.0,180.0,1972-09-03,CZE
IVAN BARANKA,8470643.0,D,L,75.0,205.0,1985-05-19,SVK
GEOFF SANDERSON,8457921.0,L,L,72.0,190.0,1972-02-01,CAN
ALLAN ROURKE,8467469.0,D,L,74.0,215.0,1980-03-06,CAN
BRYAN YOUNG,8471358.0,D,L,73.0,191.0,1986-08-06,CAN
JEFF COWAN,8462419.0,L,L,74.0,205.0,1976-09-27,CAN
BRAD ISBISTER,8462094.0,L,R,76.0,225.0,1977-05-07,CAN
TREVOR LINDEN,8448825.0,C,R,76.0,220.0,1970-04-11,CAN
BYRON RITCHIE,8462197.0,C,L,70.0,190.0,1977-04-24,CAN
LUC BOURDON,8471684.0,D,L,75.0,211.0,1987-02-16,CAN
ZACK FITZGERALD,8470681.0,D,L,74.0,205.0,1985-06-16,USA
AARON MILLER,8457384.0,D,R,75.0,210.0,1971-08-11,USA
MARCUS NILSON,8465253.0,L,R,74.0,189.0,1978-03-01,SWE
MARK SMITH,8466343.0,C,L,70.0,200.0,1977-10-24,CAN
TIM RAMHOLT,8470632.0,D,L,74.0,170.0,1984-11-02,CAN
RHETT WARRENER,8460517.0,D,R,73.0,203.0,1976-01-27,CAN
MATT KEETLEY,8471819.0,G,R,73.0,187.0,1986-04-27,CAN
JAROSLAV HLINKA,8473979.0,C,L,70.0,185.0,1976-11-10,CZE
SCOTT PARKER,8465016.0,R,R,77.0,240.0,1978-01-29,USA
WYATT SMITH,8466357.0,C,L,71.0,205.0,1977-02-13,USA
KURT SAUER,8468568.0,D,L,76.0,222.0,1981-01-16,USA
TYLER WEIMAN,8470062.0,G,L,71.0,180.0,1984-06-05,CAN
GABE GAUTHIER,8473644.0,C,L,68.0,199.0,1984-01-20,USA
JEFF GIULIANO,8470001.0,L,R,69.0,205.0,1979-06-20,USA
BRADY MURRAY,8470744.0,L,L,70.0,185.0,1984-08-17,CAN
LADISLAV NAGY,8466304.0,L,L,71.0,192.0,1979-06-01,SVK
SCOTT THORNTON,8451972.0,L,L,75.0,220.0,1971-01-09,CAN
LAURI TUKONEN,8471224.0,R,R,74.0,187.0,1986-09-01,FIN
KEVIN DALLMAN,8469795.0,D,R,71.0,195.0,1981-02-26,CAN
JON KLEMM,8456852.0,D,R,74.0,205.0,1970-01-08,CAN
JEAN-SEBASTIEN AUBIN,8462102.0,G,R,71.0,180.0,1977-07-19,CAN
DAN CLOUTIER,8460516.0,G,L,73.0,195.0,1976-04-22,CAN
MARTIN LAPOINTE,8458524.0,R,R,71.0,215.0,1973-09-12,CAN
ALEXANDER NIKULIN,8471334.0,C,L,73.0,198.0,1985-08-25,RUS
RANDY ROBITAILLE,8466110.0,C,L,71.0,200.0,1975-10-12,CAN
SHAWN BATES,8459527.0,C,R,72.0,210.0,1975-04-03,USA
DARRYL BOOTLAND,8468732.0,R,R,73.0,197.0,1981-11-02,CAN
KIP BRENNAN,8467427.0,L,L,76.0,230.0,1980-08-27,CAN
MATT KEITH,8469510.0,R,R,74.0,200.0,1983-04-11,CAN
JOSEF VASICEK,8467416.0,C,L,77.0,214.0,1980-09-12,CZE
BRYAN BERARD,8462032.0,D,L,74.0,220.0,1977-03-05,USA
DREW FATA,8469535.0,D,L,73.0,209.0,1983-07-28,CAN
MATTHEW SPILLER,8469484.0,D,L,77.0,233.0,1983-02-07,CAN
DALLAS DRAKE,8456106.0,R,L,72.0,186.0,1969-02-04,CAN
MARK HARTIGAN,8469997.0,C,L,72.0,200.0,1977-10-15,CAN
DOMINIK HASEK,8447687.0,G,L,73.0,166.0,1965-01-29,CZE
MARTIN GELINAS,8447091.0,L,L,71.0,202.0,1970-06-05,CAN
JOSH LANGFELD,8466200.0,R,R,75.0,215.0,1977-07-17,USA
STU BARNES,8455521.0,C,R,71.0,182.0,1970-12-25,CAN
MATTIAS NORSTROM,8458984.0,D,L,74.0,210.0,1972-01-02,SWE
KRIS BEECH,8467880.0,C,L,75.0,211.0,1981-02-05,CAN
ADAM PINEAULT,8471259.0,R,R,73.0,201.0,1986-05-23,USA
DAVID VYBORNY,8459455.0,R,L,70.0,181.0,1975-01-22,CZE
DICK TARNSTROM,8460757.0,D,L,73.0,205.0,1975-01-20,SWE
DUVIE WESTCOTT,8469442.0,D,R,71.0,196.0,1977-10-30,CAN
MATT FOY,8470165.0,R,R,74.0,228.0,1983-05-18,CAN
STEVE KELLY,8462037.0,C,L,74.0,210.0,1976-10-26,CAN
BRANKO RADIVOJEVIC,8467966.0,R,R,72.0,208.0,1980-11-24,SVK
CHRIS SIMON,8458031.0,L,L,75.0,232.0,1972-01-30,CAN
WES WALZ,8452285.0,C,R,71.0,190.0,1970-05-15,CAN
KEITH CARNEY,8455805.0,D,L,73.0,207.0,1970-02-03,USA
SEAN HILL,8456595.0,D,R,72.0,204.0,1970-02-14,USA
PETTERI NUMMELIN,8468613.0,D,L,70.0,188.0,1972-11-25,FIN
CURTIS BROWN,8460534.0,C,L,72.0,200.0,1976-02-12,CAN
KYLE MCLAREN,8462040.0,D,L,76.0,235.0,1977-06-18,CAN
SANDIS OZOLINSH,8458544.0,D,L,75.0,215.0,1972-08-03,LVA
DIMITRI PATZOLD,8469556.0,G,L,72.0,195.0,1983-02-03,KAZ
JAN HLAVAC,8462081.0,L,L,72.0,201.0,1976-09-20,CZE
ANDREAS KARLSSON,8459571.0,C,L,76.0,201.0,1975-08-19,SWE
JUNIOR LESSARD,8471206.0,R,R,71.0,191.0,1980-05-26,CAN
KARL STEWART,8469786.0,L,L,71.0,185.0,1983-06-30,CAN
KYLE WANVIG,8467962.0,R,R,74.0,210.0,1981-01-29,CAN
JOHAN HOLMQVIST,8466303.0,G,L,75.0,198.0,1978-05-24,SWE
JOE JENSEN,8470821.0,C,L,71.0,180.0,1983-02-06,USA
TREVOR LETOWSKI,8465189.0,R,R,70.0,180.0,1977-04-05,CAN
BRANDON NOLAN,8469522.0,C,L,73.0,192.0,1983-07-18,CAN
JOEY MORMINA,8470208.0,D,L,78.0,220.0,1982-06-29,CAN
DAVID TANABE,8467889.0,D,R,73.0,212.0,1980-07-19,USA
GLEN WESLEY,8452371.0,D,L,73.0,207.0,1968-10-02,CAN
JOHN GRAHAME,8460715.0,G,L,75.0,220.0,1975-08-31,USA
JIM DOWD,8456100.0,C,R,72.0,180.0,1968-12-25,USA
SAMI KAPANEN,8462114.0,R,L,70.0,185.0,1973-06-14,FIN
STEFAN RUZICKA,8470674.0,R,R,72.0,200.0,1985-02-17,SVK
PATRICK THORESEN,8470375.0,L,L,71.0,188.0,1983-11-07,NOR
DENIS TOLPEKO,8473635.0,C,L,73.0,190.0,1985-01-29,RUS
RORY FITZPATRICK,8459469.0,D,R,74.0,210.0,1975-01-11,USA
DERIAN HATCHER,8456531.0,D,L,77.0,235.0,1972-06-04,USA
JAROSLAV MODRY,8457403.0,D,L,74.0,220.0,1971-02-27,CZE
JASON KING,8469656.0,R,L,72.0,193.0,1981-09-14,CAN
MARK MOWERS,8467323.0,R,R,71.0,174.0,1974-02-16,USA
GEOFF PLATT,8470882.0,C,L,69.0,175.0,1985-07-10,CAN
PETTERI WIRTANEN,8473494.0,C,L,73.0,207.0,1986-05-28,FIN
JOE DIPENTA,8467387.0,D,R,74.0,220.0,1979-02-25,CAN
MAXIM KONDRATIEV,8469615.0,D,L,73.0,197.0,1983-01-20,RUS
KEVIN DOELL,8470937.0,C,R,71.0,190.0,1979-07-15,CAN
BRAD LARSEN,8462082.0,L,L,72.0,210.0,1977-06-28,CAN
JOEL KWIATKOWSKI,8465168.0,D,L,72.0,205.0,1977-03-22,CAN
STEVE MCCARTHY,8467896.0,D,L,73.0,210.0,1981-02-03,CAN
ALEXEI ZHITNIK,8458595.0,D,L,71.0,225.0,1972-10-10,UKR
BOBBY HOLIK,8447958.0,C,R,76.0,230.0,1971-01-01,CZE
BRENDAN SHANAHAN,8451302.0,R,R,75.0,220.0,1969-01-23,CAN
BARRY TALLACKSON,8470199.0,R,R,77.0,215.0,1983-04-14,USA
PETR VRANA,8470635.0,L,L,70.0,174.0,1985-03-29,CZE
KEVIN WEEKES,8459463.0,G,L,74.0,215.0,1975-04-04,CAN
TEPPO NUMMINEN,8449924.0,D,R,74.0,198.0,1968-07-03,FIN
MIKAEL TELLQVIST,8468550.0,G,L,72.0,189.0,1979-09-19,SWE
DAN HINOTE,8465175.0,R,R,72.0,187.0,1977-01-30,USA
CAM PADDOCK,8469733.0,C,R,72.0,178.0,1983-03-22,CAN
STEVE REGIER,8471360.0,L,L,76.0,194.0,1984-08-31,CAN
STEVE WAGNER,8473916.0,D,L,74.0,200.0,1984-03-06,USA
CHRIS HOLT,8470772.0,G,L,75.0,229.0,1985-06-05,CAN
MAREK SCHWARZ,8471230.0,G,R,72.0,180.0,1986-04-01,CZE
BRETT MCLEAN,8465968.0,C,L,71.0,184.0,1978-08-14,CAN
VILLE PELTONEN,8459479.0,L,L,71.0,182.0,1973-05-24,FIN
JANIS SPRUKTS,8468714.0,C,L,75.0,235.0,1982-01-31,LVA
RICHARD ZEDNIK,8460735.0,L,L,72.0,200.0,1976-01-06,SVK
P.J. AXELSSON,8462209.0,L,L,73.0,188.0,1975-02-26,SWE
MANNY FERNANDEZ,8458988.0,G,L,72.0,207.0,1974-08-27,CAN
BOYD DEVEREAUX,8464960.0,C,L,74.0,195.0,1978-04-16,CAN
JEFF HAMILTON,8470373.0,C,R,70.0,185.0,1977-09-04,USA
RYAN HOLLWEG,8469681.0,L,L,70.0,212.0,1983-04-23,USA
BEN ONDRUS,8468868.0,R,R,71.0,208.0,1982-06-25,CAN
JONAS FROGREN,8467531.0,D,L,73.0,189.0,1980-08-28,SWE
PHIL ORESKOVIC,8471746.0,D,R,76.0,217.0,1987-01-26,CAN
MIKE VAN RYN,8467350.0,D,R,73.0,213.0,1979-05-14,CAN
CURTIS JOSEPH,8448382.0,G,L,71.0,193.0,1967-04-29,CAN
JUSTIN POGGE,8471302.0,G,L,75.0,197.0,1986-04-22,CAN
ROBERT LANG,8456966.0,C,R,75.0,217.0,1970-12-19,CZE
PATRICE BRISEBOIS,8445739.0,D,R,74.0,197.0,1971-01-27,CAN
MATHIEU DANDENAULT,8460540.0,D,R,72.0,208.0,1976-02-03,CAN
ALEX HENRY,8467392.0,D,L,78.0,231.0,1979-10-18,CAN
MARC DENIS,8462055.0,G,L,73.0,193.0,1977-08-01,CAN
PAUL BISSONNETTE,8470713.0,R,L,74.0,216.0,1985-03-11,CAN
CONNOR JAMES,8470295.0,L,R,70.0,180.0,1982-08-25,CAN
JANNE PESONEN,8471480.0,L,L,71.0,180.0,1982-05-11,FIN
DANY SABOURIN,8467430.0,G,L,76.0,204.0,1980-09-02,CAN
MARKUS NASLUND,8458530.0,L,L,72.0,191.0,1973-07-30,SWE
PETR PRUCHA,8470072.0,R,R,72.0,175.0,1982-09-14,CZE
DMITRI KALININ,8467354.0,D,L,75.0,210.0,1980-07-22,RUS
JESSE BOULERICE,8465067.0,R,R,74.0,215.0,1978-08-10,USA
JASON KROG,8467857.0,C,R,71.0,185.0,1975-10-09,CAN
MICHEL OUELLET,8468604.0,R,R,73.0,193.0,1982-03-05,CAN
MATS SUNDIN,8451774.0,C,R,77.0,231.0,1971-02-13,SWE
KRIS CHUCKO,8471237.0,L,R,74.0,190.0,1986-03-13,CAN
KYLE GREENTREE,8473904.0,L,L,75.0,215.0,1983-11-15,CAN
ANDRE ROY,8460639.0,R,L,76.0,229.0,1975-02-08,USA
JOHN NEGRIN,8474076.0,D,L,74.0,195.0,1989-03-25,CAN
TYLER ARNASON,8467483.0,C,L,71.0,204.0,1979-03-16,USA
PER LEDIN,8473407.0,L,L,72.0,194.0,1978-09-14,SWE
JOE SAKIC,8451101.0,C,L,71.0,195.0,1969-07-07,CAN
AARON MACKENZIE,8471004.0,D,L,73.0,195.0,1981-03-07,CAN
LAWRENCE NYCHOLAT,8468184.0,D,L,72.0,200.0,1979-05-07,CAN
DANIEL TJARNQVIST,8462115.0,D,L,73.0,207.0,1976-10-14,SWE
DENIS GAUTHIER,8462050.0,D,L,74.0,220.0,1976-10-01,CAN
ILYA ZUBOV,8471763.0,C,L,72.0,211.0,1987-02-14,RUS
LUKE RICHARDSON,8450824.0,D,L,75.0,214.0,1969-03-26,CAN
JASON SMITH,8458954.0,D,R,75.0,220.0,1973-11-02,CAN
SEAN BENTIVOGLIO,8473905.0,L,L,70.0,190.0,1985-10-16,CAN
MITCHELL FRITZ,8468884.0,L,L,80.0,249.0,1980-11-24,CAN
MIKE IGGULDEN,8471641.0,C,R,75.0,215.0,1982-11-09,CAN
KURTIS MCLEAN,8472008.0,C,R,72.0,190.0,1980-11-02,CAN
MIKE SILLINGER,8451359.0,C,R,71.0,198.0,1971-06-29,CAN
JAMIE FRASER,8473827.0,D,L,73.0,200.0,1985-11-17,CAN
THOMAS POCK,8469919.0,D,L,73.0,210.0,1981-12-02,AUT
BRETT SKINNER,8470119.0,D,L,73.0,183.0,1983-06-28,CAN
AARON DOWNEY,8465992.0,R,R,73.0,215.0,1974-08-27,CAN
DARREN MCCARTY,8458982.0,R,R,73.0,210.0,1972-04-01,CAN
RADEK BONK,8460105.0,C,L,74.0,210.0,1976-01-09,CZE
ANTTI PIHLSTROM,8473973.0,L,L,71.0,190.0,1984-10-22,FIN
GREG DE VRIES,8460254.0,D,L,74.0,205.0,1973-01-04,CAN
JOEL LUNDQVIST,8468548.0,C,L,73.0,194.0,1982-03-02,SWE
LANDON WILSON,8459441.0,R,R,75.0,224.0,1975-03-13,USA
PHILIPPE BOUCHER,8458527.0,D,R,75.0,218.0,1973-03-24,CAN
DAN JANCEVSKI,8467939.0,D,L,75.0,222.0,1981-06-15,CAN
GARRETT STAFFORD,8471011.0,D,R,73.0,207.0,1980-01-28,USA
SERGEI ZUBOV,8458494.0,D,R,73.0,198.0,1970-07-22,RUS
BRENT KRAHN,8468489.0,G,L,76.0,232.0,1982-04-02,CAN
TOBIAS STEPHAN,8470266.0,G,L,74.0,180.0,1984-01-21,CHE
CRAIG MACDONALD,8465041.0,C,L,73.0,201.0,1977-04-07,CAN
JIRI NOVOTNY,8469475.0,C,R,75.0,204.0,1983-08-12,CZE
MICHAEL PECA,8458976.0,C,R,71.0,183.0,1974-03-26,CAN
MIKE YORK,8466266.0,L,R,70.0,185.0,1978-01-03,USA
CHRISTIAN BACKMAN,8467348.0,D,L,76.0,210.0,1980-04-28,SWE
DANIEL LACOSTA,8471305.0,G,L,73.0,186.0,1986-03-28,CAN
FREDRIK NORRENA,8470090.0,G,L,72.0,190.0,1973-11-29,FIN
DAN FRITSCHE,8470639.0,L,R,73.0,204.0,1985-07-13,USA
CRAIG WELLER,8468647.0,R,R,76.0,220.0,1981-03-17,CAN
TOMAS MOJZIS,8469689.0,D,L,73.0,195.0,1982-05-02,CZE
ERIK REITZ,8468650.0,D,R,73.0,222.0,1982-07-29,USA
RILEY ARMSTRONG,8471516.0,R,R,71.0,185.0,1984-11-08,CAN
TOM CAVANAGH,8469629.0,R,L,72.0,200.0,1982-03-24,USA
LUKAS KASPAR,8471235.0,L,R,74.0,225.0,1985-09-23,CZE
CLAUDE LEMIEUX,8448772.0,R,R,73.0,215.0,1965-07-16,CAN
TOMAS PLIHAL,8469587.0,L,L,73.0,210.0,1983-03-28,CZE
JEREMY ROENICK,8450978.0,C,R,73.0,205.0,1970-01-17,USA
ALEXEI SEMENOV,8467909.0,D,L,78.0,245.0,1981-04-10,RUS
CHRIS GRATTON,8459425.0,C,L,76.0,226.0,1975-07-05,CAN
MARTINS KARSUMS,8471277.0,R,R,70.0,198.0,1986-02-26,LVA
GARY ROBERTS,8450900.0,L,L,74.0,215.0,1966-05-23,CAN
JASON WARD,8466147.0,R,R,74.0,208.0,1979-01-16,CAN
JAMIE HEWARD,8456588.0,D,R,74.0,215.0,1971-03-30,CAN
GEOFF KINRADE,8475073.0,D,L,72.0,195.0,1985-07-29,CAN
MAREK MALIK,8459493.0,D,L,78.0,235.0,1975-06-24,CZE
JANNE NISKALA,8471359.0,D,L,72.0,187.0,1981-09-22,SWE
KEVIN QUICK,8473433.0,D,L,72.0,181.0,1988-03-29,USA
RIKU HELENIUS,8473474.0,G,L,75.0,211.0,1988-03-01,FIN
OLIE KOLZIG,8448535.0,G,L,75.0,224.0,1970-04-06,ZAF
RYAN BAYDA,8468560.0,L,L,71.0,185.0,1980-12-09,CAN
WADE BROOKBANK,8469044.0,L,L,76.0,225.0,1977-09-29,CAN
DAN LACOUTURE,8464983.0,L,L,74.0,215.0,1977-04-18,USA
JAKUB PETRUZALEK,8471477.0,C,R,70.0,176.0,1985-04-24,CZE
MICHAEL RYAN,8467905.0,L,L,73.0,188.0,1980-05-16,USA
FRANTISEK KABERLE,8467949.0,D,L,72.0,190.0,1973-11-08,CZE
JOSEF MELICHAR,8466203.0,D,L,74.0,220.0,1979-01-20,CZE
JOSH GRATTON,8469844.0,L,L,74.0,215.0,1982-09-09,CAN
NATE RADUNS,8474225.0,R,R,75.0,212.0,1984-05-17,USA
JAMIE FRITSCH,8475115.0,D,L,74.0,195.0,1985-02-25,USA
LASSE KUKKONEN,8470743.0,D,L,72.0,190.0,1981-09-18,FIN
